Genehmigung des Protokolls der vorangegangenen Sitzung	Adoption of the Minutes of the previous sitting
Deshalb habe ich zwei Änderungsanträge gestellt.	Mr President, I simply wish to thank and congratulate Mr Mayer on the report he has carried out, which affects all the hop-producing countries of the Community and which, in the case of Spain, affects my region, Castilla-León, in the León area.
Ich bitte das Parlament, denen zuzustimmen.	I agree with everything Mr Mayer has said.
Ich weiß aber auch, daß die Kommission diese Änderungsanträge nicht so gern sieht.	The report has been unanimously approved in the Committee on Agriculture.
Aber ich meine, das Parlament ist ein bißchen etwas anderes als die Kommission.	I congratulate Mr Mayer and I hope that he receives the support of this Parliament.
Deshalb bitte ich um die Zustimmung.	Mr President, Mr Mayer was so charming that I would like to extend the offer by suggesting that we have that beer in Bavaria itself, not here.
(Heiterkeit, Beifall)	I shall now come to the point.
Herr Mayer, ich vertraue darauf, daß Sie uns nach der Sitzung eine Verkostung anbieten werden.	Hops are not a typical enough example for us to understand the importance of the common agricultural policy for farmers in the European Union.
Herr Präsident, ich habe schon vor etwa drei Wochen zu einer Bierprobe eingeladen, und es hat all denen, die diese Mitteilung bekommen und teilgenommen haben, sehr geschmeckt.	They do, however, show the extent to which it actually helps our farmers.
Daran zweifle ich nicht, Herr Mayer.	As Mr Mayer said, hops are a traditional product which is particularly important to the quality of beer produced, although production is very limited; some 4 000 hectares of land throughout the whole of Europe.
Herr Präsident!	Yet a sufficient number of farming families in the countries where hops are produced, particularly in Bavaria, make their living from that product alone.
Ich möchte Herrn Mayer einfach nur danken und ihn zu seinem Bericht beglückwünschen, der alle Hopfenerzeugerländer in dieser Gemeinschaft und im Fall von Spanien meine Region, Kastilien und León, im Gebiet León angeht.	These families should not be left to the mercy of continual price falls, neither should they be forced to desert specific rural areas because of difficulties arising from irregularities within the market.
Ich stimme Herrn Mayer in allem zu.	There have been a number of changes to the main regulation relating to this particular product as a result of the market fluctuations and the changing needs of farmers, the most recent being the Council decision to set a uniform level of aid to producers for a period of five years.
Der Bericht ist im Landwirtschaftsausschuß einstimmig angenommen worden.	This latest decision alters the obligations of the Commission arising from the previous regime, that is of having to grant annual aid, and Members States no longer need to grant aid for setting up production teams.
Ich gratuliere Herrn Mayer und hoffe, daß er die Unterstützung des Plenums erhält.	This development means that certain articles of the old regulation need to be revoked which, rightly so, is carried out in the new regulation for which we will be voting, together with Mr Mayer' s amendments, noting that the proposed regulation will not in any way affect the budget.
Herr Präsident!	Mr President, I should like to congratulate the rapporteur on the report.
Herrn Mayers Ausführungen waren so erfrischend, daß ich Ihren Vorschlag noch erweitern und anregen möchte, dieses Bier direkt in Bayern und nicht hier zu trinken.	I can inform you that the Group of the European Liberal, Democrat and Reform Party will support the report when it is put to the vote.
Und nun zum eigentlichen Thema.	Mr President, ladies and gentlemen, I first of all want to thank the rapporteur, Mr Xaver Mayer, for a valuable report - and perhaps especially for his enthusiastic presentation of the hop paradise of Bavaria - together with the Committee on Agriculture and Rural Development for its constructive attitude.
Hopfen kann natürlich nicht als Paradebeispiel dienen, um die enorme Bedeutung der Gemeinsamen Agrarpolitik für die Landwirte in der Europäischen Union zu würdigen.	I am very pleased that our proposal for changing the way in which the market for hops is organised has met with a positive reception.
Er zeigt jedoch, wie tiefgehend und weitreichend sie zur Unterstützung unserer Landwirte beiträgt.	The Commission' s proposal is, of course, aimed at removing those stipulations which are no longer valid, either because deadlines have run out or because of previous changes to the common regime under which hops are organised.
Hopfen ist, wie Herr Mayer sagte, eine besondere Pflanze, die die Qualität des erzeugten Biers entscheidend beeinflußt, wenngleich die Produktion äußerst begrenzt ist: Die Anbaufläche umfaßt in der gesamten Union etwa 4 000 Hektar.	These changes must be implemented before the basic regulation is consolidated.
Dennoch leben von diesem Produkt in den Erzeugerländern, vor allem in Bayern, etliche Familienbetriebe, die in einer Zeit des stetigen Preisverfalls nicht ihrem Schicksal überlassen bleiben dürfen.	Owing to the fact that the Council has resolved that the level of support is to remain constant for a period of five years, the Commission does not consider that it is necessary to submit a report every year on the situation concerning the production and marketing of hops.
Ebensowenig können wir eine Entvölkerung bestimmter landwirtschaftlicher Gebiete aufgrund temporärer, durch ein gestörtes Funktionieren des Marktes ausgelöster Schwierigkeiten tolerieren.	The Commission therefore considers that Article 11 can be removed.
Angesichts der Marktschwankungen und der Bedürfnisse der Landwirte bei diesem Erzeugnis sind immer wieder Änderungen an der ursprünglichen Verordnung vorgenommen worden, zuletzt durch den Beschluß des Rates, der einen einheitlichen Satz für die Erzeugerbeihilfe für einen Zeitraum von fünf Jahren festsetzt.	According to Article 18 of the proposal, we shall, however, be presenting, by 1 September 2000, a thorough assessment of the situation regarding the production and marketing of hops.
Durch diesen Beschluß ändern sich einerseits die Verpflichtungen der Kommission aus der bisherigen Regelung in bezug auf die jährliche Beihilfe, und andererseits brauchen die Mitgliedstaaten für die Gründung von Erzeugergemeinschaften keine finanzielle Unterstützung mehr zu gewähren.	I am therefore afraid that the European Parliament' s two amendments complicate the text unnecessarily and that the requirement to receive information each year is already covered by the new proposal.
Diese Entwicklung hat die Streichung bestimmter Artikel der alten Verordnung zur Folge, und genau das wird, völlig richtig, durch die neue Verordnung erreicht, der wir ebenso wie den Änderungsanträgen von Herrn Mayer zustimmen mit dem Hinweis, daß dieser Vorschlag für eine Verordnung keinerlei Auswirkungen auf den Haushalt hat.	This information will also be made available on the Internet.
Herr Präsident, ich möchte dem Berichterstatter zu seinem Bericht gratulieren und kann mitteilen, daß die liberale Fraktion bei der Abstimmung für den Bericht stimmen wird.	That is why the Commission cannot adopt these amendments in this situation.
Herr Präsident, sehr geehrte Abgeordnete!	Mr President, firstly, I would be pleased to invite the Commissioner to Kloster Andechs in Bavaria, a place where seven different types of beer are brewed...
Zunächst möchte ich dem Berichterstatter, Herrn Xaver Mayer, für seinen wertvollen Bericht danken - vielleicht auch gerade für die enthusiastische Darstellung des Hopfenparadieses Bayern - sowie dem Ausschuß für Landwirtschaft und ländliche Entwicklung für dessen konstruktive Haltung.	Secondly, I would like to make it known that next ...
Erfreulicherweise ist unser Vorschlag zur Reorganisation des Hopfenmarktes positiv aufgenommen worden.	(The President cut the speaker off)
Der Vorschlag der Kommission zielt darauf ab, die entweder aufgrund abgelaufener Fristen oder aufgrund schon früher vorgenommener Änderungen der Gemeinsamen Marktordnung für Hopfen ungültig gewordenen Bestimmungen zu streichen.	Mr Posselt, this is not a procedural motion.
Diese Änderungen müssen vor der Konsolidierung der Grundverordnung vorgenommen werden.	The debate is closed.
Da der Rat für einen Zeitraum von fünf Jahren eine Pauschalbeihilfe festgelegt hat, ist die Kommission der Auffassung, daß es nicht erforderlich ist, einen jährlichen Bericht über die Erzeugung und Vermarktung von Hopfen vorzulegen.	We shall now proceed to the vote.
Nach Ansicht der Kommission kann daher Artikel 11 gestrichen werden.	(Parliament approved the legislative resolution)
Gemäß Artikel 18 des Vorschlags werden wir jedoch spätestens am 1. September 2000 eine sorgfältige Auswertung der Erzeugung und Vermarktung von Hopfen vorstellen.	EXPLANATION OF VOTE
Ich befürchte, daß die zwei Änderungsanträge des Europäischen Parlaments den Text unnötig verkomplizieren und daß die Forderung nach jährlicher Information schon von dem neuen Vorschlag abgedeckt wird.	Mr President, before leaving for Strasbourg, the pensioners who took me to the airport asked me "Is there going to be a debate about beer on Friday morning?"
Diese Informationen werden auch im Internet veröffentlicht.	I replied "Yes, certainly."
Daher kann die Kommission diese Änderungsanträge beim jetzigen Stand der Dinge nicht akzeptieren.	"Well, you have to give an explanation of vote and say that we pensioners are in favour of the production and development of beer."
Herr Präsident!	We are in favour not just because ten years ago, the Pensioners' Party put forward as candidate for Rome' s mayor the model Solveig Tubing, who was born in Berlin and was a great connoisseur and lover of beer, but also because my own personal studies on beer show that drinking it makes you younger.
Erstens: Ich würde mich freuen, die Frau Kommissarin nach Kloster Andechs in Bayern einzuladen, wo sieben verschiedene Biersorten gebraut werden ...	I know that welfare institutions and governments are against developing beer, because this means that they have to pay out pensions for longer, but as representative of the Pensioners' Party, I am in favour.
Zweitens möchte ich ankündigen, daß nächstes ...	Extension of exceptional financial assistance to Tajikistan
(Der Präsident entzieht dem Redner das Wort.)	The next item is the debate on the report (A5-0093/1999) by Mr Savary, on behalf of the Committee on Industry, External Trade, Research and Energy, on the proposal for a Council decision modifying Decision 97/787/EC granting exceptional financial assistance to Armenia and Georgia in order to extend it to Tajikistan [COM(1999) 391 - C5­0171/1999 - 1999/0172(CNS)].
Herr Posselt, dies ist keine Geschäftsordnungsfrage.	Mr President, I thought, since I represent the Bordeaux area, that you were giving me the floor so that I could answer my Bavarian colleague on the subject of Bordeaux wine.
Die Aussprache ist geschlossen.	However, it seems that you are asking me to speak on Tajikistan instead and, as I have five minutes, I shall try to be as clear as possible about an issue that is perhaps rather esoteric and complicated.
Wir kommen nun zur Abstimmung.	It concerns exceptional aid to Tajikistan which is, as you know, a small country located between Uzbekistan, Kazakhstan, China and Afghanistan.
(Das Parlament nimmt die legislative Entschließung an.)	There is a history to this issue and really what I would like to do today is to close a subject that began in 1991 with a loan of EUR 1200 million to the Newly Independent States when the Soviet Union collapsed.
Erklärung zur Abstimmung	The loan has been repaid by all of the States apart from three.
Herr Präsident, vor meinem Abflug nach Straßburg haben die Rentner, die mich zum Flughafen begleiteten, gefragt: "Wird am Freitag das Thema Bier behandelt werden? "	In 1997, three States were experiencing difficulties and were seriously behind in their repayments: Georgia, Armenia and Tajikistan.
Ich antwortete: "Ja, sicherlich ".	Thus the Parliament was informed in 1997 of a proposal by the Commission, which aimed to reschedule and restructure these three countries' debts.
"Dann mußt Du eine Erklärung zur Abstimmung abgeben und sagen, wir Rentner seien für die Herstellung und die Förderung von Bier ".	It was therefore decided to put in place two types of financial assistance.
Wir sind nicht nur deswegen dafür, weil die Rentnerpartei vor zehn Jahren als Kandidatin für das Amt des Bürgermeisters in Rom das in Berlin geborene Topmodell Solveig Tubing, eine große Bierliebhaberin und ­expertin, aufgestellt hat, sondern auch, weil die von mir geführten Statistiken gezeigt haben, daß Biertrinken verjüngt.	On the one hand there would be loans - at the time EUR 245 million had been earmarked for loans to these three countries - and on the other hand, a gift of EUR 130 million, whose main objective was to reduce the burden of debt and to improve the ability of these countries to repay.
Zwar sind, wie ich weiß, die Vorsorgeeinrichtungen und die Regierungen gegen die Förderung von Bier, weil sie damit länger Renten zahlen müssen, aber als Vertreter der Rentnerpartei bin ich dafür.	1997 was also marked, and this is the crux of the issue, by a civil war in Tajikistan, a terrible civil war between the reigning power and the Islamic opposition.
Einbeziehung von Tadschikistan in eine Sonderfinanzhilfe	Parliament then proposed, on the basis of Mr Kittelmann' s report, to defer aid to Tajikistan and that is why, two years later, now that the situation has returned to normal, we are being asked today to reopen the matter.
Nach der Tagesordnung folgt die Aussprache über den Bericht (A5-0093/1999) von Herrn Savary im Namen des Ausschusses für Industrie, Außenhandel, Forschung und Energie über den Vorschlag für einen Beschluß des Rates zur Änderung des Beschlusses 97/787/EG über eine Sonderfinanzhilfe für Armenien und Georgien zwecks Einbeziehung von Tadschikistan (KOM(1999) 391 - C5­0171/1999 - 1999/0172(CNS)).	In fact, although the situation in Tajikistan has remained highly critical and worrying, in terms of politics as well as economics, it has gradually become more stable.
Herr Präsident, als Abgeordneter aus Bordeaux glaubte ich, Sie würden mir das Wort erteilen, um meinem bayerischen Kollegen eine Antwort zum Thema Bordeaux­Wein zu geben.	There has been an agreement between the different parties, which has been implemented and universally respected, even if security in the country is still subject to caution due to the presence of warlords and the powerful wave of Wahabi fundamentalism in Afghanistan.
Aber nein, ich soll zum Thema Tadschikistan sprechen, und da ich nur fünf Minuten habe, will ich mich so klar wie möglich ausdrücken, obwohl der Gegenstand vielleicht etwas esoterisch und schwierig ist.	In terms of economics, the country has made great efforts under the auspices of the IMF and is benefiting from a structural adjustment facility provided by that organisation.
Es geht um eine Sonderfinanzhilfe für Tadschikistan, ein kleines Land, das, wie Sie wissen, zwischen Usbekistan, Kasachstan, China und Afghanistan gelegen ist.	We, the European Union, are therefore being asked to re-establish contact with Tajikistan and to implement a restructuring of the debt as today, around EUR 73 million is still outstanding.
Dieses Dossier hat eine Vorgeschichte, und was ich Ihnen heute vorschlage, ist, ein Dossier abzuschließen, das 1991, zum Zeitpunkt des Zerfalls der Sowjetunion, mit einem Darlehen in Höhe von 1 Milliarde Euro für die Neuen Unabhängigen Staaten eröffnet wurde.	What the Commission is proposing is actually to repeat what was done for Georgia and Armenia, which was to make provision for a new loan which would enable Tajikistan to repay the previous one but on much more favourable terms in order to give this country some breathing space, and to make provision for a gift of EUR 35 million for the period 2000-2004, in order to reduce the burden of debt.
Dieses Darlehen wurde von allen Staaten, mit drei Ausnahmen, zurückgezahlt.	Unfortunately, I have to say that the Commission' s proposal is extremely contradictory.
Im Jahre 1997 befanden sich drei Staaten in Schwierigkeiten und hatten große Zahlungsrückstände: Georgien, Armenien und Tadschikistan.	We are in fact being asked to make a loan of EUR 75 million and a gift of EUR 35 million and now we see that no more budgetary funds are available for donations and that, in 1999, we only budgeted for the donations granted to Armenia and Georgia, donations which are due to end in 2001.
Deshalb wurde dem Parlament im Jahre 1997 ein Vorschlag der Kommission vorgelegt, der darauf abzielte, eine Umschuldung für diese drei Länder vorzunehmen.	As a result and quite logically, we, the Committee on Industry, within whose competence this matter essentially falls, have been told by the Committee on Budgets that under no circumstances could we endorse donations which have not been budgeted for today and which have not been provided for in the financial perspective, particularly in Category 4, which, as you know, is already under pressure through trying to finance Kosovo.
Daraufhin wurde beschlossen, zwei Arten von Finanzhilfe zu gewähren: einerseits Darlehen, wobei zum damaligen Zeitpunkt für Darlehen an diese drei Länder 245 Millionen Euro vorgesehen waren, und andererseits Zuschüsse in Höhe von 130 Millionen Euro.	Therefore, the compromise which we have reached with the Committee on Budgets consists effectively of only keeping the loan of EUR 75 million whilst agreeing - a position of the Committee on Industry which I think has been understood by the Committee on Budgets - that Tajikistan should also be able to benefit from supplementary aid in order to reduce the monthly debt repayment of EUR 200 000 which it cannot afford.
Das wesentliche Ziel bestand darin, die Schuldenlast dieser Länder zu mildern und ihre Rückzahlungsfähigkeit zu verbessern.	Tajikistan is, in fact, the poorest of the Newly Independent States and the one that we absolutely have to stabilise because, rather like Chechnya and for other reasons besides, it is a country that could endanger the whole region, particularly because of its strategic position with regard to Kazakhstan and Uzbekistan, which are very rich countries.
Im Jahre 1997 kam es auch, und da sind wir beim Kern des Problems, werte Kolleginnen und Kollegen, zum Bürgerkrieg in Tadschikistan, einem äußerst grausamen Bürgerkrieg zwischen der dortigen Regierung und der islamischen Opposition.	We have consequently tabled a series of amendments.
Deshalb hatte das Parlament auf der Grundlage des Berichts unseres Kollegen Kittelmann vorgeschlagen, die Hilfe für Tadschikistan zeitweilig auszusetzen, und aus diesem Grunde fordert man uns heute, zwei Jahre später, nachdem die Situation sich normalisiert hat, auf, dieses Dossier wieder zu öffnen.	Firstly, amendments that endorse the donation; then amendments which point out to the Council and the Commission their contradictions by telling them that it would be desirable to grant direct aid, but by financing it under another line, and here I am thinking of TACIS; and finally, amendments concerning conditions: monitoring the way the funds are used, the political and democratic conditions and the monitoring of the Parliament.
Zwar ist die Situation in Tadschikistan in politischer wie in wirtschaftlicher Hinsicht nach wie vor kritisch und beunruhigend, jedoch ist seit zwei Jahren ein allmählicher Stabilisierungsprozeß zu verzeichnen.	Mr President, Commissioner, Tajikistan is not only the poorest of all the countries formed from the Soviet Union, it has also been the one to suffer the most on account of the turmoil caused by tribal feuding, which ultimately escalated into civil war.
Zwischen den Parteien wurde ein Friedensabkommen geschlossen, das auch umgesetzt und im allgemeinen eingehalten wird, obwohl die Sicherheit in diesem Land aufgrund der Präsenz von Kriegsherren und des starken Drucks seitens des wahhabitischen Fundamentalismus aus Afghanistan nach wie vor gefährdet ist.	The country failed to grasp how to employ the financial aid provided so far in a targeted manner.
Wirtschaftlich gesehen unternimmt das Land große Anstrengungen unter der Schirmherrschaft des IWF, der ihm auch eine Strukturanpassungsfazilität gewährt hat.	The situation has only calmed down to some extent over the last few months, once the warring parties had ceased hostilities and resolved that their next step would be to form a coalition government.
Wir als Europäische Union sind nun also aufgefordert, den Kontakt zu diesem Land wiederherzustellen und eine Umschuldung vorzunehmen, bei der es heute um etwa 73 Millionen Euro geht.	General free elections are set for March 2000.
Der Vorschlag der Kommission zielt darauf ab, in gleicher Weise vorzugehen wie im Falle von Georgien und Armenien, d. h. ein neues Darlehen zu gewähren, das der Rückzahlung des vorhergehenden dient, jedoch zu wesentlich günstigeren Bedingungen, so daß dieses Land wieder etwas freier atmen kann, und zudem einen Zuschuß in Höhe von 35 Millionen Euro für den Zeitraum 2000-2004 vorzusehen, um die Schuldenlast zu verringern.	The international donor community, which includes Swiss organisations for the most part, is now prepared to carry on where it left off delivering financial aid, but with certain provisos.
Bedauerlicherweise muß ich aber sagen, daß der Vorschlag der Kommission äußerst widersprüchlich ist.	Now that the situation has abated and there are more favourable prospects for future progress overall, the Savary report now attempts to provide renewed support for the macroeconomic financial aid for this country in the form of loans.
Man fordert uns auf, ein Darlehen in Höhe von 75 Millionen Euro und einen verlorenen Zuschuß in Höhe von 35 Millionen Euro zu gewähren, um dann festzustellen, daß gar keine Haushaltmittel für Zuschüsse mehr zur Verfügung stehen und daß man für 1999 lediglich die Zuschüsse für Armenien und Georgien in den Haushalt eingestellt hat, die im Jahre 2001 auslaufen müßten.	We hope that this will make it sufficiently clear to Tajikistan that it needs to improve its state machinery by embracing democratic development and undertaking the necessary reforms.
Demzufolge hat logischerweise der Haushaltsausschuß uns, dem Industrieausschuß, der im Grunde zuständig ist, zu verstehen gegeben, daß wir auf keinen Fall Zuschüsse genehmigen könnten, die heute weder im Haushalt noch in der Finanziellen Vorausschau vorgesehen sind, vor allem in Rubrik 4, die bekanntlich schon wegen des Versuchs der Kosovofinanzierung stark unter Druck geraten ist.	However, the financial aid in the form of loans should only be granted if there is a real possibility of the European Union being able to properly monitor the situation, if the process of national reconciliation continues and the elections, in particular the parliamentary elections set for March, are free and democratic.
So haben wir nun also mit dem Haushaltsausschuß den Kompromiß geschlossen, daß wir de facto nur das Darlehen in Höhe von 75 Millionen Euro gewähren, wobei wir uns allerdings darüber einig sind - und diesen Standpunkt des Industrieausschusses hat, glaube ich, auch der Haushaltsausschuß verstanden - daß Tadschikistan auch eine zusätzliche Hilfe erhalten müßte, um den monatlichen Schuldendienst zu senken, dessen Höhe von 200 000 Euro für dieses Land unerträglich ist.	As Mr Savary rightly said, this is also what we aim to achieve with proposed Amendments Nos 8 and 9, to which we give our unequivocal support.
Tadschikistan ist in der Tat das ärmste Land unter den Neuen Unabhängigen Staaten und muß unbedingt stabilisiert werden, denn ähnlich wie Tschetschenien und aus anderen Gründen könnte dieses Land zu einer Gefahr für die ganze Region werden, vor allem aufgrund seiner strategischen Lage gegenüber den reichen Ländern Kasachstan und Usbekistan.	If Tajikistan' s creditworthiness is to be restored, then the proposal in Budget 2000 is also to be welcomed.
Aus diesem Grund haben wir eine Reihe von Änderungsanträgen eingebracht.	The rapporteur, Mr Bourlanges, has just confirmed to me that as far as this is concerned, a commentary is to provide for a particular form of financial aid to be made available again under the TACIS programme.
Einige Änderungsanträge zielen darauf ab, den Zuschuß zu validieren.	On a final note, I would like to say that the PPE group supports this report notwithstanding all the associated risks.
Andere sollen den Rat und die Kommission auf ihre Widersprüche aufmerksam machen und ihnen nahelegen, daß eine Direkthilfe wünschenswert wäre, die aber aus einer anderen Haushaltslinie finanziert werden müßte, ich denke da beispielsweise an TACIS.	It represents a renewed, hopefully successful attempt to resume and promote economic and technical cooperation with Tajikistan.
Weitere Änderungsanträge schließlich beziehen sich auf die Bedingungen: Kontrolle der Mittelverwendung, politische und demokratische Bedingungen und Kontrolle durch das Parlament.	Mr President, the loan which Tajikistan will receive equals this small and poor country' s share in an outstanding debt to the former Soviet Union.
Herr Präsident, Frau Kommissarin, liebe Kolleginnen und Kollegen!	As such, this will not solve any problems within Tajikistan.
Tadschikistan ist nicht nur das ärmste Land der Nachfolgestaaten der Sowjetunion, es hat auch in den letzten fünf Jahren am meisten unter den Wirren der Stammesfehden gelitten, bis diese sich schließlich zu einem Bürgerkrieg ausgeweitet haben.	The loan only prevents the outstanding debts from continuing to exist.
Das Land hat es nicht verstanden, die bisher gewährte Finanzhilfe zielführend einzusetzen.	Central Asia, the majority of whose population is Turkish-speaking and a small part of which is Iranian-speaking, was conquered in the previous century by the Russian tsarist empire.
Erst in den letzten Monaten kam es zu einer gewissen Beruhigung der Situation, nachdem die Bürgerkriegsparteien die Feindseligkeiten eingestellt und sich entschlossen haben, demnächst eine Koalitionsregierung zu bilden.	This empire did not look for colonies far from home or overseas, like most Western European States, but close by.
Allgemeine freie Wahlen stehen für März 2000 in Aussicht.	Although they were decolonised in 1922, they have remained linked to Russia in the form of Federal States of the Soviet Union.
Die internationale Gebergemeinschaft, darunter auch vor allem Schweizer Organisationen, ist jetzt wieder bereit, die Finanzhilfe unter bestimmten Bedingungen aufzunehmen.	The boundaries drawn by Stalin between the various linguistic and cultural regions in the ' 20s and ' 30s are now state borders.
Nach Beruhigung der Lage und insgesamt günstigeren Entwicklungschancen für die Zukunft versucht nun der Bericht Savary, die makroökonomische Finanzhilfe für dieses Land in Form von Darlehen wieder zu unterstützen.	This prolonged European influence means that we in the European Union should feel especially responsible for the vicissitudes of the five States which appeared after the collapse of the Soviet Union.
Wir hoffen, daß damit Tadschikistan ein ausreichend deutliches Signal erhält, um seine staatliche Organisation im Sinne einer demokratischen Entwicklung zu verbessern und die notwendigen Reformen anzugehen.	The economy and environment are in a sad state of affairs in all fifteen States.
Die Finanzhilfe auch in Form von Darlehen sollte aber nur gewährt werden, wenn eine ordentliche Kontrolle der Finanzhilfe von seiten der Europäischen Union tatsächlich möglich ist, wenn der Prozeß der nationalen Aussöhnung weitergeht und die Wahlen und insbesondere die Parlamentswahlen im März 2000 frei und demokratisch organisiert sein werden.	Authoritarian regimes have come to power and leave little or no scope for political opponents.
Dies ist auch das Ziel, und das hat Herr Savary zu Recht gesagt, unserer Änderungsanträge 8 und 9, die wir ausdrücklich gutheißen.	By means of referendums and intimidation, some presidents have their periods of office extended by ten years, without there being rival candidates.
Wenn nun die Kreditfähigkeit und Kreditwürdigkeit von Tadschikistan wieder hergestellt werden sollte, ist auch der Vorschlag im Haushalt 2000 zu begrüßen.	In this respect, Tajikistan is no exception.
Der Berichterstatter, Herr Bourlanges, hat mir gerade bestätigt, daß dort in einem Kommentar vorgesehen werden soll, daß eine gewisse Form der Finanzhilfe im Rahmen des TACIS-Programms dann wieder gewährt werden kann.	Should European money be spent on a country like this?
Lassen Sie mich abschließend sagen: Die EVP-Fraktion unterstützt diesen Bericht, trotz aller Risiken, die damit verbunden ist.	In general, my group is not in favour of funding undemocratic regimes.
Es ist der erneute, hoffentlich erfolgreiche Versuch, die wirtschaftliche und technische Zusammenarbeit mit Tadschikistan wieder aufzunehmen und voranzubringen.	All too often, we have noticed that they receive funding in the expectation that they will regard this money as a reward for taking small steps towards greater democracy and human rights and as an encouragement to take further such steps.
Herr Präsident!	In practice, however, this method does not work, as we have since found out in Turkey and Russia.
Der für Tadschikistan vorgesehene Kredit ist genauso groß wie der Anteil dieses kleinen armen Landes an einer noch nicht beglichenen Schuld der ehemaligen Sowjetunion.	The funding is received, but the situation does not improve.
In Tadschikistan wird damit kein einziges Problem gelöst.	With the collapse of the Soviet Union, Tajikistan has reverted to the situation in the nineteenth and at the beginning of the twentieth century.
Der Kredit verhindert nur, daß die nicht getilgten Schulden bestehenbleiben.	There are several, regionally powerful families and groups which are fighting each other in a situation where warlords seize upon political and religious differences as an excuse to justify armed action.
Zentralasien mit einer mehrheitlich türkisch- und zu einem kleinen Teil persischsprachigen Bevölkerung wurde im letzten Jahrhundert vom russischen Zarenreich erobert.	The fate of Tajikistan largely depends upon what is happening in its immediate surroundings, such as the hopeless, violent conflict in Afghanistan.
Dieses Reich suchte seine Kolonien nicht weit von zu Hause und in Übersee wie die meisten westeuropäischen Staaten, sondern in der unmittelbaren Umgebung.	A large proportion of the Tajikistani population lives in north-east Afghanistan, the area which is not in the hands of the Taliban.
Ab 1922 waren diese Gebiete zwar keine Kolonien mehr, aber in Form von Republiken der Sowjetunion sind sie mit Rußland verbunden geblieben.	The North of Tajikistan stretches out as far as the densely populated Fergana Valley which is partly located in Uzbekistan and is completely integrated into the economy and road network of this neighbouring country.
Die in den 20er und 30er Jahren von Stalin zwischen den verschiedenen Sprach- und Kulturräumen gezogenen Grenzen sind heute Staatsgrenzen.	As a frontline area flanked, on the one hand, by the Russian sphere of influence and, on the other hand, by Islamic fundamentalism in Afghanistan, the present Tajikistani State has little chance of survival.
Aufgrund des langandauernden europäischen Einflusses können wir uns in der Europäischen Union für das Wohl und Wehe der hier nach dem Zerfall der Sowjetunion entstandenen fünf Staaten besonders verantwortlich fühlen.	The only reason to inject European funding into Tajikistan despite all this is that funding increases the chance of survival of the Tajikistani population and offers more chance of peace than there would be without such aid.
In allen 15 Staaten ist es um die Wirtschaft und um die Umwelt schlecht bestellt.	This is the reason why my group can nevertheless agree with the proposals made in the Savary report.
Autoritäre Regimes, die politischen Gegnern wenig oder keinen Spielraum lassen, sind an die Macht gekommen.	Mr President, for our part, we will not be voting for the Savary report.
Manche Präsidenten lassen ihre Amtszeit ohne Gegenkandidaten durch Referenden und Einschüchterung um zehn Jahre verlängern.	This is both for reasons concerning the choice of this country and out of more general considerations involving financial aid.
Insofern bildet Tadschikistan keine Ausnahme.	Although, of course, we have nothing against the sovereign State of Tajikistan, we nevertheless do not think that European States should drop their priorities, or to be more precise, the priority that they set a long time ago on the subject of cooperation.
Muß Europa denn einem solchen Land Geld geben?	This priority has now been in force for more than a quarter of a century through the Lomé Agreements.
Meine Fraktion ist generell nicht dafür, daß undemokratische Regimes finanziell unterstützt werden.	For obvious reasons, which concern history as well as geography, Europeans felt it necessary to embark, throughout the 1970s, on a major course of cooperation with the countries of Africa, the Caribbean and the Pacific in a way which is, moreover, highly original, known as the Lomé Agreements, which enable us to offer our Southern partners the benefits of stable prices for the produce which constitute their essential resources, protecting them from all-out free trade.
Wir sehen allzu oft, daß sie Geld erhalten, da erwartet wird, sie sähen dieses Geld als Belohnung und einen Anreiz, kleine Schritte hin zu mehr Demokratie und Menschenrechten zu setzen.	Today we see only too well how this ruins the weakest economies.
In der Praxis funktioniert diese Methode nicht, wie wir inzwischen in der Türkei und in Rußland sehen können.	Now under the battering, not from globalisation but from the globalist ideology, which European countries have accepted without closer examination, we have seen the ACP agreements being slowly dismantled over several years, their basic principles denied and, above all, we have seen reductions in several European countries' contributions to the EDF.
Man nimmt das Geld entgegen, aber die Situation verbessert sich nicht.	Now, at the same time, so-called exceptional financial aid to the most diverse countries in the world is multiplying, without any overall plan emerging, which means that our cooperation policy is nothing but a vague, huge scratching of the surface or, to sum it up, it is no longer a policy at all.
Mit dem Zerfall der Sowjetunion herrscht in Tadschikistan wieder die Situation wie im 19. und zu Beginn des 20. Jahrhunderts.	To this particular consideration we can add a second.
Verschiedene regional mächtige Familien und Gruppen bekämpfen einander, wobei politische und religiöse Unterschiede von den Kriegsherren als Deckmantel benutzt werden, um den Einsatz von Waffengewalt zu rechtfertigen.	Tajikistan may have been spared the economic problems described in the report, moreover like so many other countries in the world, but it is nevertheless the victim of an ill-considered opening up of its borders and of the huge game waged by empires.
Das Wohl und Wehe Tadschikistans ist eng verbunden mit dem der näheren Umgebung, wie der aussichtslose, gewalttätige Konflikt in Afghanistan.	For our part, the best solution we can see would be to restore a new world trade order, which respects the sovereignty of States, their pace and their modes of development, and which also respects their traditions, traditions which we will not be able to make vanish with a wave of a magic wand just by imposing an election, human rights and what we quite hastily call democracy.
